id;name;description;address;price;places;date_course;image_course;image_course_content_type
1;98579;neural Peru Exclusive;mesh infomediaries;36738;98425;2020-07-04T04:42:32;../fake-data/blob/hipster.png;image/png
2;10989;Fantastic;Soft;23357;24607;2020-07-03T18:18:49;../fake-data/blob/hipster.png;image/png
3;5463;Sausages;niches Facilitator navigate;87978;31635;2020-07-04T09:07:39;../fake-data/blob/hipster.png;image/png
4;99168;Configuration;Guarani Awesome;41543;63337;2020-07-04T06:20:11;../fake-data/blob/hipster.png;image/png
5;83952;enable;Refined Frozen Shoes violet;76915;93699;2020-07-04T01:23:22;../fake-data/blob/hipster.png;image/png
6;46843;access;Function-based indexing;21780;89989;2020-07-03T17:48:11;../fake-data/blob/hipster.png;image/png
7;17482;EXE;Executive Refined Concrete;88944;15597;2020-07-04T01:27:11;../fake-data/blob/hipster.png;image/png
8;52098;fresh-thinking;Handcrafted;10262;27847;2020-07-04T02:36:42;../fake-data/blob/hipster.png;image/png
9;70407;Cambridgeshire;neural Games Checking Account;60210;34127;2020-07-03T19:33:57;../fake-data/blob/hipster.png;image/png
10;9089;Investment Account;Prairie copy withdrawal;51121;74893;2020-07-03T22:31:50;../fake-data/blob/hipster.png;image/png
